id|created at|tweet
1294419296047833091|2020-08-14 23:43:03|...Steve Bullock is totally against your Second Amendment and just received an F rating from the @NRA. Steve, on the other hand, just received an A+ rating. Vote for Steve Daines. He has always had my Complete and Total Endorsement! #MTSEN https://t.co/Hi75F35DY6
1294419295003451399|2020-08-14 23:43:03|Senator @SteveDaines is doing a tremendous job for the people of Montana! He just helped me pass the Great American Outdoors Act, which protects the Montana way of life. His opponent, Steve Bullock, would be an absolute horror for Montana...
1294419010512211971|2020-08-14 23:41:55|Senator @CoryGardner is doing a terrific job - we just passed his landmark legislation, the Great American Outdoors Act. Strong on our Military, Vets and the Second Amendment, Cory has always had my Complete and Total Endorsement! https://t.co/umtvqqkMFq
1294400686772420609|2020-08-14 22:29:07|The biggest difference between the Presidential Race in 2020 and that of 2016 is the 2016 candidate, Crooked Hillary Clinton, was much smarter and sharper than Slow  Joe, we have even more ENTHUSIASM now, and @FoxNews has become politically correct and no longer the big deal!
1294397381073678339|2020-08-14 22:15:59|I promised YOU I would not take a dime of salary as your President. I donate the entire $400,000! It is my honor to give $100,000 to @NatlParkService to help repair and restore our GREAT National Monuments. So important to our American History! Thank You!! https://t.co/4ETkUZ9yUf
1294388698738569224|2020-08-14 21:41:29|Going up the East River Drive, and fast. THANK YOU NYPD! On November 3rd we’re bringing you back! #LESM #MAGA https://t.co/dDHbO1f3yI
1294381809875263489|2020-08-14 21:14:06|RT @seanmdav: Today is a great day for those who still believe in the rule of law, and a terrible day for Russian collusion hoaxers who ins…
1294381809791381504|2020-08-14 21:14:06|"RT @SaraCarterDC: #BREAKING and #Developing 

Ex-FBI Lawyer Kevin Clinesmith To Plead Guilty In #Durham Probe 

 https://t.co/T35FgZhY0l"
1294381727398481921|2020-08-14 21:13:46|"RT @ChuckRossDC: Kevin Clinesmith was not a bit player in Crossfire Hurricane. 

*He worked with Strzok to arrange sending an FBI agent int…"
1294381727390011393|2020-08-14 21:13:46|RT @seanmdav: Clinesmith knew after Trump's election that he was in big legal trouble, but that didn't stop him from fabricating evidence w…
1294381711095140352|2020-08-14 21:13:43|RT @catturd2: Clinesmith, In Order to Save Himself, Has Implicated Others on Crossfire Hurricane -- Who Ultimately Hid the Exculpatory Info…
1294378976769695746|2020-08-14 21:02:51|RT @seanmdav: Clinesmith's guilty plea is the beginning of the end of the NeverTrump and Resistance delusion that there was no spying, no c…
1294378779318591488|2020-08-14 21:02:04|RT @seanmdav: Kevin Clinesmith, the corrupt FBI lawyer who deliberately fabricated evidence to justify spying on Page, will plead guilty to…
1294378716064342029|2020-08-14 21:01:48|"RT @MZHemingway: Kevin Clinesmith, reportedly pleading guilty today, was the FBI ""Resistance"" figure who worried at the time of Trump's ele…"
1294378196281024518|2020-08-14 20:59:45|RT @seanmdav: That attorney, Kevin Clinesmith, now faces prison time for deliberately falsifying documents in service of illegal warrants t…
1294378196281024518|2020-08-14 20:59:45|RT @seanmdav: That attorney, Kevin Clinesmith, now faces prison time for deliberately falsifying documents in service of illegal warrants t…
1294378104845209603|2020-08-14 20:59:23|"RT @Jim_Jordan: Kevin Clinesmith:

-Worked for Peter Strzok.
-Deliberately doctored #FISA evidence.
-Bragged about being part of the “resis…"
1294378007919042564|2020-08-14 20:59:00|"RT @JudiciaryGOP: #BREAKING: Kevin Clinesmith expected to plead guilty. 

Don’t forget: Clinesmith texted “Viva le resistance,” shortly aft…"
1294364456370286596|2020-08-14 20:05:09|Just landed in New York to see my brother, Robert. We’re going for New York on November 3rd. We’re going to Reduce Taxes, Increase Law Enforcement, and bring it back BIG TIME! #MAGA https://t.co/VIxo7yWyQs
1294351525704163328|2020-08-14 19:13:46|"RT @TrumpWarRoom: ""Today, we honor the brave Native American/First Nations soldiers who served our Nation &amp; played a vital role in America'…"
1294348702987894784|2020-08-14 19:02:33|I am ready to send Rental Assistance payments to hardworking Americans that have been hurt by the ChinaVirus. DEMOCRATS ARE HOLDING THIS UP!
1294346904629805057|2020-08-14 18:55:24|I am ready to send $105B to the states to help open schools safely with additional PPE. DEMOCRATS ARE HOLDING THIS UP!
1294345293824106496|2020-08-14 18:49:00|Great News! https://t.co/eMTwXslvQX
1294326794502524929|2020-08-14 17:35:29|RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/jcJvNLJk4Y
1294315658742829058|2020-08-14 16:51:14|https://t.co/FL978fEzzq
1294309521922437120|2020-08-14 16:26:51|I am ready to send more money to States and Local governments to save jobs for Police, Fire Fighters, First Responders, and Teachers. DEMOCRATS ARE HOLDING THIS UP!
1294309253717598213|2020-08-14 16:25:47|I am ready to have @USTreasury and @SBA send additional PPP payments to small businesses that have been hurt by the ChinaVirus. DEMOCRATS ARE HOLDING THIS UP!
1294308655718969345|2020-08-14 16:23:25|I have directed @stevenmnuchin1 to get ready to send direct payments ($3,400 for family of four) to all Americans. DEMOCRATS ARE HOLDING THIS UP!
1294307884055040001|2020-08-14 16:20:21|...Congress should send me H.R.473 ASAP and make this happen! It will INSPIRE all women to continue being bold and brave in achieving their DREAMS!
1294307882524119040|2020-08-14 16:20:20|I have done more for WOMEN than just about any President in HISTORY! As we celebrate the 100th Anniversary of women’s voting rights, we should build a BEAUTIFUL STATUE in Washington D.C. to honor the many brave women who made this possible for our GREAT COUNTRY...
1294307234017681413|2020-08-14 16:17:46|...The Bob Woodward book will be a FAKE, as always, just as many of the others have been. But, believe it or not, lately I’ve been getting lots of GREAT books!
1294307233094934530|2020-08-14 16:17:46|Everybody does phony books on Donald Trump and Republicans, just like the Fake Dossier, which turned out to be a total fraud perpetrated by Crooked Hillary Clinton and the DNC...
1294271236860764161|2020-08-14 13:54:43|"RT @dcexaminer: Trump: ""Which is easier: dealing with the Democrats or dealing with the Middle East."" 

Mnuchin: ""...I'll be hopeful that w…"
1294270997319888896|2020-08-14 13:53:46|RT @RLHeinrichs: An amazing achievement. A credit to Israel and the UAE and the Trump administration’s strategy for the ME. The Trump admin…
1294270573011492864|2020-08-14 13:52:05|Vote for TRUMP on November 3rd. I am going to bring our beloved New York back! https://t.co/Xi7yQ45jvy
1294270573011492864|2020-08-14 13:52:05|Vote for TRUMP on November 3rd. I am going to bring our beloved New York back! https://t.co/Xi7yQ45jvy
1294269058238619648|2020-08-14 13:46:04|RT @CharlesHurt: #EqualJusticeUnderLaw https://t.co/bkmlp1mjsA
1294268944887558149|2020-08-14 13:45:37|"RT @AlexMarlow: Rep Jerry Nadler is perhaps the best case for term limits
https://t.co/HFxkhdcgEk"
1294268813194801160|2020-08-14 13:45:06|Fake News will never change! https://t.co/AMX2jzMoXJ
1294264832200515584|2020-08-14 13:29:16|Today, we honor the brave Native American/First Nations soldiers who served our Nation and played a vital role in America's victory in WWII. The Navajo Code was never broken and saved untold American lives. Our country will be forever grateful. Happy Navajo Code Talkers Day!
1294263789043490817|2020-08-14 13:25:08|RT @SPWTalessia: Crunch time #Trump2020 #LeadRight #BlackVoicesForTrump #BuckeyeBattalion #MAGA https://t.co/rN5t8jmHmT
1294263647376756736|2020-08-14 13:24:34|RT @SPWTalessia: Thank you 😘😘😘
1294263324058759169|2020-08-14 13:23:17|"RT @RJC: Even more relevant today... 

President @realDonaldTrump is the MOST pro-Israel President in history!
#Israel
#UAE https://t.co/gd…"
1294241469612654597|2020-08-14 11:56:26|RT @realDonaldTrump: The world will be laughing and taking full advantage of the United States if Joe Biden ever became President. Our Coun…
1294241278075469825|2020-08-14 11:55:41|"RT @RichardGrenell: We need a Lion to change Washington, DC. 

@realDonaldTrump https://t.co/l5ErFQ52p1"
1294241086374903810|2020-08-14 11:54:55|RT @Cernovich: Nobel peace prize for Trump!
1294240703913099264|2020-08-14 11:53:24|RT @Cernovich: Other counties know that if Biden is elected, the status quo foreign policy establishment will retake power, and any hope fo…
1294240487218479105|2020-08-14 11:52:32|RT @ChuckRossDC: The hand-wringing over a Barr-Durham October Surprise is pretty rich given all the political damage that the debunked coll…
1294240129020833792|2020-08-14 11:51:07|RT @RichardGrenell: I have agreed to write a regular column for @thehill - there are very few news outlets that strive to be balanced in th…
1294239322384805895|2020-08-14 11:47:54|RT @RRocksss: We are representing Team God
1294239104121606145|2020-08-14 11:47:02|RT @RRocksss: Dear Lord, I ask that you protect Donald Trump as he leads our nation head on against pure evil.. put all his enemies under h…
1294238798944129026|2020-08-14 11:45:50|Thank you Debbie! https://t.co/Mjvp1zQATH
1294238533964554241|2020-08-14 11:44:46|RT @manganello_d: @McKaylaRoseJ I've never in my lifetime seen a president be so disrespected as him. I think most men would have gave up a…
1294238516486995968|2020-08-14 11:44:42|RT @Jakester_1: @McKaylaRoseJ And at the same time the most respected.  Interesting
1294237893557354496|2020-08-14 11:42:14|RT @SaynotoT: @McKaylaRoseJ Disrespected? A billion Indians love him. So do the vast majority of Japanese, Israelis, S Koreans, Filipinos,…
1294237893557354496|2020-08-14 11:42:14|RT @SaynotoT: @McKaylaRoseJ Disrespected? A billion Indians love him. So do the vast majority of Japanese, Israelis, S Koreans, Filipinos,…
1294237653093756930|2020-08-14 11:41:16|Thank you! https://t.co/62wJYhQtSL
1294236514038296577|2020-08-14 11:36:45|RT @KatrinaPierson: On now...
1294236288401498112|2020-08-14 11:35:51|"RT @FordOConnell: Spot on @HeyTammyBruce: 

""Hiding Mr. Biden in a basement has been absurdly accepted by the media. Unable to toss Ms. Har…"
1294236236631220227|2020-08-14 11:35:39|RT @TrumpWarRoom: Phony Kamala Harris said she's interested in packing the Supreme Court by adding four seats for liberal activists https:/…
1294236172605161474|2020-08-14 11:35:23|"RT @GOPChairwoman: Biden and Harris want to raise your taxes, eliminate your health plan, and send your utility bills through the roof. 

T…"
1294236127164014592|2020-08-14 11:35:13|RT @deneenborelli: Seriously? You are shameless @KamalaHarris clearly you will do anything for power. Roll tape. #PhonyKamala #HypocriteHar…
1294236037275774976|2020-08-14 11:34:51|RT @RepLeeZeldin: With a straight face, Biden just said President Trump has been coddling terrorists around the world.🧐After Biden advised…
1294235882946428931|2020-08-14 11:34:14|RT @yogagenie: Pro-life groups denounce Biden-Harris as 'most pro-abortion ticket in history' - Washington Times https://t.co/XCv4wKk9Hk
1294235828827361280|2020-08-14 11:34:01|RT @RealDrGina: #Biden’s Disastrous Week Was a Product of His Own Incompetence https://t.co/AjoW8p5shq
1294235792571863040|2020-08-14 11:33:53|RT @Mike_Pence: We’ve created more jobs in the last 3 months than Joe Biden and Barack Obama created in their 8 years in office. https://t.…
1294235751597694976|2020-08-14 11:33:43|"RT @kidgolferman: The Trump Campaign Just Got Some Head-Turning TERRIFIC NEWS

RNC has registered 100K new voters in the 2020 cycle nearly…"
1294235587931668481|2020-08-14 11:33:04|It was showing signs of future problems, but was so good when I left 4 years ago! https://t.co/uF9T3ztMDd
1294235168471953409|2020-08-14 11:31:24|Thank you James. Sadly, you are 100% correct!!! https://t.co/tk9k4SJxTa
1294234822555119621|2020-08-14 11:30:02|"RT @GOPChairwoman: A Biden-Harris fracking ban would kill MILLIONS of jobs &amp; send energy prices through the roof.

Who would benefit? 

Adv…"
1294234660378157057|2020-08-14 11:29:23|RT @mschlapp: When Kamala Harris says she and Biden have a vision for the country just remember that vision is CA for All:  sanctuary citie…
1294234542199525377|2020-08-14 11:28:55|RT @madisongesiotto: It’s amazing being in my home state of Ohio touring with Women for Trump as we prepare to #KAG! https://t.co/6Bkhzv3Qjo
